ticker,score_fundamentals,score_technical,score_quality,composite,rank,shortName,sector,marketCap
RNG,52.51196172248804,79.98046875,87.77389277389278,70.09044336796701,1,"Ringcentral, Inc.",Technology,4774070784
DBX,55.15350877192983,71.97265625,82.34265734265733,66.91657801662427,2,"Dropbox, Inc.",Technology,7479619584
GEN,74.08654211285791,63.76953125,54.11421911421912,66.28271211585577,3,Gen Digital Inc.,Technology,16615126016
YELP,63.95989974937343,57.71484375,90.81585081585081,66.1906715829303,4,Yelp Inc.,Communication Services,1506745216
PRGS,52.48038024353815,67.48046875,83.25174825174825,64.13601802444393,5,Progress Software Corporation,Technology,1655692544
CRTO,50.12208551682236,63.76953125,88.60139860139861,62.59859235090893,6,Criteo S.A.,Communication Services,1062671744
CARG,66.65843902686008,58.88671875,61.63170163170163,62.56885080687139,7,"CarGurus, Inc.",Consumer Cyclical,3284613888
QLYS,66.45888711678185,65.72265625,44.86013986013985,62.29958742923894,8,"Qualys, Inc.",Technology,4780708864
PATH,71.13927495506442,58.88671875,41.77156177156178,60.86274058807321,9,"UiPath, Inc.",Technology,6315885568
TENB,43.13564213564213,67.08984375,83.91608391608392,60.25619668804657,10,"Tenable Holdings, Inc.",Technology,3459232000
MNDY,65.026518315992,46.38671875,78.47319347319348,59.77207834374555,11,monday.com Ltd.,Technology,3681652992
DV,58.0270119743804,52.24609375,77.05128205128206,59.04989736024232,12,"DoubleVerify Holdings, Inc.",Communication Services,1726472192
IAS,59.370522265259105,,56.62004662004662,58.537044797012896,13,Integral Ad Science Holding Cor,Communication Services,1735615872
PUBM,38.092352092352094,68.26171875,82.51748251748252,58.416400974087914,14,"PubMatic, Inc.",Technology,605156480
FIVN,36.710083289030656,76.07421875,65.0,57.929266908887584,15,"Five9, Inc.",Technology,2076415360
PCTY,59.26166426166426,58.69140625,51.794871794871796,57.69409535208921,16,Paylocity Holding Corporation,Technology,7425489408
TDC,56.758373205741634,50.87890625,71.08391608391608,56.901724791450334,17,Teradata Corporation,Technology,2746779136
S,50.54112554112554,66.89453125,45.163170163170165,56.297353711206945,18,"SentinelOne, Inc.",Technology,6262781952
GTLB,65.6024531024531,50.48828125,45.88578088578089,55.87401248150411,19,GitLab Inc.,Technology,5567788544
AMPL,54.16305916305917,53.61328125,62.738927738927735,55.468662623029246,20,"Amplitude, Inc.",Technology,1159092224
VRNS,48.935064935064936,70.01953125,36.77156177156177,55.42270232093056,21,"Varonis Systems, Inc.",Technology,5246389760
PD,59.97594997594998,51.26953125,49.25407925407925,54.48547965602933,22,"PagerDuty, Inc.",Technology,790255424
PEGA,74.32849801270852,30.95703125,62.47086247086247,54.39778210269501,23,Pegasystems Inc.,Technology,4854878208
WIX,52.02020202020202,36.42578125,99.23076923076923,54.045809062898904,24,Wix.com Ltd.,Technology,2450288896
CXM,43.32997898787372,52.83203125,80.11655011655012,53.80163815422494,25,"Sprinklr, Inc.",Technology,1477983488
ALRM,52.35924406977038,61.62109375,35.75757575757576,53.19863441840136,26,"Alarm.com Holdings, Inc.",Technology,2696096256
SPT,50.370851370851376,52.63671875,60.55944055944055,53.12086639953548,27,"Sprout Social, Inc",Technology,522317088
DGII,48.9667350193666,62.59765625,40.45454545454545,53.04511524537297,28,Digi International Inc.,Technology,2526801408
ESTC,64.38147135515557,50.48828125,30.337995337995334,52.59614755890234,29,Elastic N.V.,Technology,6505066496
