ticker,score_fundamentals,score_valuation,score_short_interest,score_technical,score_stability,score_insider,score_events,score_filing_text,score_quality,score_profitability,score_earnings_drift,composite,rank,shortName,sector,marketCap
YELP,58.014397667213416,93.0198325027665,27.634032634032636,35.15625,85.9375,62.5,57.03125,77.04918032786885,97.72727272727272,85.71428571428572,83.05084745762711,71.1740282972303,1,Yelp Inc.,Communication Services,1236939264
RNG,58.58585858585858,63.320233131566,45.25641025641026,72.96875,42.1875,51.5625,57.03125,90.1639344262295,84.84848484848484,96.03174603174602,79.66101694915254,67.38528864828747,2,"Ringcentral, Inc.",Technology,6059624960
YEXT,41.58216942525308,62.08683630074845,37.2960372960373,36.09375,68.75,100.0,57.03125,88.52459016393442,75.0,72.22222222222221,49.152542372881356,67.36996822706648,3,"Yext, Inc.",Technology,665697152
CARG,65.71275908345345,69.36919017063111,61.235431235431236,47.03125,87.5,45.3125,57.03125,81.9672131147541,71.21212121212122,98.4126984126984,45.76271186440678,66.88116661606,4,"CarGurus, Inc.",Communication Services,3107773696
DBX,46.717171717171716,61.0407532483806,33.83449883449883,73.28125,89.84375,57.8125,57.03125,96.72131147540983,84.84848484848484,92.06349206349206,37.28813559322034,66.85289987102811,5,"Dropbox, Inc.",Technology,7437625344
CRTO,39.869194956674455,98.39294720490629,100.0,51.09375,67.96875,71.875,10.9375,60.65573770491803,89.39393939393939,73.01587301587301,62.71186440677966,64.22273547071543,6,Criteo S.A.,Communication Services,885875904
EPAM,42.975545504249716,87.95696701988409,47.61072261072261,30.78125,83.59375,90.625,57.03125,59.01639344262295,58.33333333333333,53.17460317460318,69.49152542372882,63.722313935883115,7,"EPAM Systems, Inc.",Technology,6083136512
PEGA,71.34350613847607,55.390736409963935,65.0932400932401,29.53125,67.96875,78.125,57.03125,52.459016393442624,54.54545454545455,89.68253968253967,6.779661016949152,63.05454305851648,8,Pegasystems Inc.,Technology,6105999360
MNDY,67.1995791706016,56.77193643125885,49.82517482517483,29.84375,60.15625,79.6875,57.03125,,75.0,44.44444444444444,61.016949152542374,62.50530253542548,9,monday.com Ltd.,Technology,3971865088
SPT,47.27463260268071,93.51530190239868,66.39860139860139,57.34375,46.875,65.625,57.03125,100.0,54.54545454545455,51.58730158730158,44.06779661016949,62.46645427390475,10,"Sprout Social, Inc",Technology,697416384
AMPL,51.83118776612489,32.06782464846981,58.03030303030303,61.71875,43.75,81.25,57.03125,98.36065573770492,55.30303030303031,84.92063492063491,11.016949152542372,62.12442014729406,11,"Amplitude, Inc.",Technology,1763836032
SPSC,54.66416488559736,47.660257914861724,34.23076923076923,50.46875,85.9375,90.625,57.03125,39.34426229508197,65.9090909090909,45.238095238095234,98.30508474576271,61.84272942725288,12,"SPS Commerce, Inc.",Technology,2982254336
DGII,57.773497688751924,37.74662785521889,67.84382284382284,63.28125,63.28125,90.625,57.03125,80.32786885245902,34.848484848484844,30.158730158730158,88.13559322033898,60.713633640442325,13,Digi International Inc.,Technology,2666994176
WIX,49.74747474747475,83.19600522365498,57.57575757575758,34.53125,43.75,75.0,57.03125,,96.21212121212122,41.26984126984127,18.64406779661017,60.49775482876834,14,Wix.com Ltd.,Technology,3667276800
DV,52.81500074556389,69.46493503109225,87.80885780885781,66.09375,75.0,90.625,57.03125,6.557377049180328,73.48484848484848,59.52380952380952,1.694915254237288,60.458006640739825,15,"DoubleVerify Holdings, Inc.",Communication Services,2069859072
PRGS,50.36060440379741,76.81685027196637,32.109557109557116,53.90625,76.5625,67.1875,57.03125,29.508196721311474,80.30303030303031,60.317460317460316,72.88135593220339,60.1615498669954,16,Progress Software Corporation,Technology,1798007424
IAS,61.620276024321946,64.92465228522987,54.87179487179487,,,,,,53.03030303030303,,,59.149360808126225,17,Integral Ad Science Holding Cor,Communication Services,1735615872
RPD,35.62594230992262,82.1158230818271,37.42424242424242,45.78125,34.375,90.625,57.03125,65.57377049180327,56.06060606060606,54.76190476190476,54.23728813559322,59.0326753463858,18,"Rapid7, Inc.",Technology,749495104
TDC,50.87570621468927,78.92964436588338,11.491841491841491,53.59375,36.71875,76.5625,57.03125,14.754098360655737,84.84848484848484,70.63492063492063,74.57627118644068,58.86505734937387,19,Teradata Corporation,Technology,2686769920
BSY,68.58110906771377,34.96992261189994,48.74125874125874,36.71875,87.5,90.625,57.03125,16.39344262295082,45.45454545454545,52.38095238095238,66.10169491525424,58.0903109828399,20,"Bentley Systems, Incorporated",Technology,10618565632
PLAB,47.468230694037146,66.58050262960047,35.79254079254079,40.15625,11.71875,90.625,57.03125,63.934426229508205,67.42424242424244,29.365079365079364,89.83050847457628,57.99722936014987,21,"Photronics, Inc.",Technology,1638601216
ASAN,38.99903905098,61.545980900819615,46.11888111888112,33.28125,51.5625,68.75,5.46875,70.49180327868852,84.0909090909091,88.09523809523809,,57.48531243285282,22,"Asana, Inc.",Technology,2269369344
VRNS,42.99252779296519,14.875290608009502,51.73659673659674,32.96875,31.25,90.625,57.03125,91.80327868852459,43.18181818181819,35.71428571428571,96.61016949152543,55.74408998899692,23,"Varonis Systems, Inc.",Technology,4735697920
FIVN,36.770962771509524,71.23263592644734,12.890442890442891,64.53125,39.84375,53.125,57.03125,73.77049180327869,68.18181818181819,73.80952380952381,28.8135593220339,54.757658058534126,24,"Five9, Inc.",Technology,2516314624
APPN,56.81818181818181,32.466386238682254,73.47319347319348,64.21875,64.84375,35.9375,57.03125,72.1311475409836,53.03030303030303,63.492063492063494,,54.54273067443364,25,Appian Corporation,Technology,2855792384
DIOD,50.28389416306312,58.34497042654262,67.05128205128206,60.46875,35.9375,90.625,57.03125,4.918032786885246,49.24242424242424,36.507936507936506,86.4406779661017,54.47304541755356,26,Diodes Incorporated,Technology,4087318784
BOX,31.116109150554202,31.67983409694099,25.151515151515152,74.21875,94.53125,50.0,57.03125,68.85245901639344,64.39393939393939,84.92063492063491,11.016949152542372,53.72432820344477,27,"Box, Inc.",Technology,4771156992
QLYS,68.70139337607898,36.31352416386178,22.16783216783217,66.71875,67.96875,15.625,57.03125,95.08196721311475,46.96969696969697,53.17460317460318,94.91525423728814,53.472797212885524,28,"Qualys, Inc.",Technology,5765256704
BL,40.8381794986497,46.2775118905738,63.53146853146853,35.46875,73.4375,48.4375,57.03125,45.90163934426229,80.30303030303031,57.93650793650794,40.67796610169492,53.46810771521352,29,"BlackLine, Inc.",Technology,1864077440
PUBM,41.739069204897525,44.05327496815705,93.9044289044289,79.21875,28.125,14.0625,57.03125,62.295081967213115,87.12121212121212,56.34920634920635,100.0,53.01370224802025,30,"PubMatic, Inc.",Technology,786194048
CRUS,55.2430538297132,66.13762455065775,36.44522144522145,45.78125,68.75,59.375,57.03125,37.704918032786885,44.696969696969695,54.76190476190476,23.728813559322035,52.197515172715654,31,"Cirrus Logic, Inc.",Technology,5703378432
KLIC,72.8795334426827,44.54220737522729,89.24242424242425,48.28125,48.4375,17.1875,57.03125,93.44262295081968,26.515151515151516,56.349206349206355,30.508474576271187,51.40236023817243,32,"Kulicke and Soffa Industries, I",Technology,4124057600
ALRM,44.61967957320609,57.022874466059456,43.34498834498835,62.65625,91.40625,37.5,57.03125,42.62295081967213,42.42424242424242,48.41269841269842,84.7457627118644,50.91862742345015,33,"Alarm.com Holdings, Inc.",Technology,2770407168
ACLS,46.070464072104315,38.92071516750972,59.46386946386947,40.46875,35.9375,90.625,57.03125,13.114754098360656,37.878787878787875,49.2063492063492,59.32203389830508,50.74293484349214,34,"Axcelis Technologies, Inc.",Technology,3430624512
CALX,56.599317394834074,44.20546594943026,77.24941724941725,19.21875,71.875,40.625,57.03125,34.42622950819672,48.484848484848484,54.76190476190476,64.40677966101694,50.730796055898956,35,"Calix, Inc",Technology,2366501376
RMBS,73.04463442517023,23.959705184846694,44.75524475524476,26.71875,25.78125,73.4375,57.03125,54.09836065573771,28.030303030303028,39.682539682539684,55.932203389830505,50.659693461088715,36,"Rambus, Inc.",Technology,9045697536
AVPT,66.88843050516095,25.512528153107596,77.78554778554778,54.53125,67.1875,60.9375,57.03125,44.26229508196721,31.060606060606062,30.952380952380956,42.3728813559322,50.617457220581656,37,"AvePoint, Inc.",Technology,2801126144
EVCM,42.68701227695213,64.329783893049,49.67365967365967,37.96875,53.90625,26.5625,57.03125,86.88524590163934,59.84848484848485,62.698412698412696,5.084745762711865,50.378672173009775,38,EverCommerce Inc.,Technology,1416855424
BMBL,30.020130225160294,98.698752228164,11.433566433566433,21.40625,32.8125,1.5625,57.03125,78.68852459016394,95.45454545454545,86.5079365079365,20.33898305084746,49.7291977688028,39,Bumble Inc.,Communication Services,434369536
PD,52.61270440876783,79.63821402521823,21.25874125874126,47.96875,46.09375,34.375,57.03125,55.73770491803278,46.96969696969697,54.76190476190476,22.033898305084744,48.62449869859691,40,"PagerDuty, Inc.",Technology,1070943872
GTLB,63.960166177908114,21.41758778855553,63.42657342657343,66.71875,50.0,43.75,57.03125,50.81967213114754,37.12121212121212,43.65079365079365,32.20338983050847,47.82139027790324,41,GitLab Inc.,Technology,8341126144
SYNA,26.370512119555315,52.810151656722546,61.2004662004662,46.40625,48.4375,46.875,57.03125,27.86885245901639,63.63636363636363,60.317460317460316,38.983050847457626,46.98255621344794,42,Synaptics Incorporated,Technology,3767957760
CWAN,54.312424408105095,17.568773354894258,63.286713286713294,,,,,,49.24242424242425,,,46.26765995713051,43,"Clearwater Analytics Holdings, ",Technology,7330872320
GEN,60.95515018970459,64.79228797292765,62.354312354312356,66.09375,82.8125,10.9375,57.03125,3.278688524590164,43.93939393939394,45.238095238095234,81.35593220338984,46.122277607152185,44,Gen Digital Inc.,Technology,18331727872
AKAM,33.547641532879375,51.541762096032585,30.617715617715618,47.03125,42.96875,70.3125,57.03125,26.229508196721312,53.78787878787879,28.57142857142857,33.89830508474576,45.248327821781764,45,"Akamai Technologies, Inc.",Technology,15101741056
VIAV,51.177411070795436,34.723438363991356,93.10023310023311,47.65625,27.34375,23.4375,57.03125,75.40983606557377,12.121212121212121,31.746031746031743,77.96610169491525,43.57773617571569,46,Viavi Solutions Inc.,Technology,8453648384
PCTY,58.85431681495104,48.998367477365676,56.34032634032634,64.21875,92.1875,6.25,10.9375,83.60655737704919,39.39393939393939,27.77777777777778,52.54237288135594,43.41809409425293,47,Paylocity Holding Corporation,Technology,8596124672
ESTC,60.949434199844255,45.81445498664786,68.62470862470863,68.59375,56.25,25.0,57.03125,21.311475409836063,27.272727272727273,38.095238095238095,50.847457627118644,43.3988612275169,48,Elastic N.V.,Technology,9433992192
S,47.354594330400786,27.276298969847357,85.41958041958043,57.03125,54.6875,21.875,57.03125,49.18032786885246,40.90909090909091,53.17460317460317,3.389830508474576,42.98722081362351,49,"SentinelOne, Inc.",Technology,6717347840
SLAB,43.64613880742913,15.370106084391798,38.98601398601399,65.78125,71.09375,64.0625,57.03125,18.0327868852459,22.727272727272727,,27.11864406779661,42.575651421203794,50,"Silicon Laboratories, Inc.",Technology,7340687360
U,50.79899597395497,18.084606095991298,64.79020979020979,67.65625,25.0,28.125,57.03125,57.377049180327866,43.93939393939394,38.888888888888886,25.423728813559322,42.04171733054359,51,Unity Software Inc.,Technology,17920421888
BAND,38.28893086137482,50.4684739675252,15.944055944055943,44.53125,16.40625,32.8125,57.03125,85.24590163934425,38.63636363636363,39.68253968253968,15.254237288135593,41.554467130837864,52,Bandwidth Inc.,Technology,1519898624
UCTT,39.286329671786206,78.71569886695937,57.28438228438229,47.96875,14.84375,29.6875,57.03125,11.475409836065573,23.484848484848484,49.2063492063492,76.27118644067797,40.89194808684016,53,"Ultra Clean Holdings, Inc.",Technology,2989868800
BRZE,53.20882416289743,38.08248280137681,24.358974358974358,63.90625,42.96875,20.3125,57.03125,32.78688524590164,35.60606060606061,38.095238095238095,,39.09070671764506,54,"Braze, Inc.",Technology,3712339712
MGNI,51.777175803966394,56.047085556957164,64.93006993006993,67.34375,52.34375,7.8125,57.03125,40.98360655737705,37.12121212121212,22.22222222222222,11.016949152542372,38.82837659873717,55,"Magnite, Inc.",Communication Services,3536839680
COHU,46.66161340026841,35.42977022375233,10.6993006993007,47.03125,39.84375,56.25,57.03125,1.639344262295082,41.66666666666667,8.73015873015873,71.1864406779661,38.47548489723947,56,"Cohu, Inc.",Technology,2142064000
DOCN,53.964494590519735,18.334655256155568,77.22610722610722,43.28125,13.28125,54.6875,10.9375,47.540983606557376,8.333333333333332,34.12698412698413,67.79661016949152,38.40987086144789,57,"DigitalOcean Holdings, Inc.",Technology,12258255872
