ticker,score_fundamentals,score_valuation,score_short_interest,score_technical,score_stability,score_residual_momentum,score_insider,score_events,score_filing_text,score_quality,score_issuance,score_profitability,score_intangible_value,score_earnings_drift,composite,rank,shortName,sector,marketCap
RNG,23.88059701492537,70.1492537313433,68.65671641791045,98.46153846153847,38.46153846153847,86.15384615384616,69.23076923076923,58.46153846153847,69.35483870967742,83.5820895522388,85.07462686567165,98.4375,3.125,82.53968253968253,91.12833696672317,1,"Ringcentral, Inc.",Technology,6048351232
PUBM,22.388059701492537,40.298507462686565,76.11940298507463,96.92307692307692,20.76923076923077,84.61538461538461,32.30769230769231,58.46153846153847,75.80645161290323,91.04477611940298,80.59701492537313,67.96875,68.75,100.0,86.37221046211252,2,"PubMatic, Inc.",Technology,764330048
DBX,40.298507462686565,65.67164179104478,12.686567164179104,93.07692307692308,94.61538461538461,56.92307692307692,27.692307692307693,58.46153846153847,96.7741935483871,67.16417910447761,95.52238805970148,96.875,4.6875,42.857142857142854,82.08286349844185,3,"Dropbox, Inc.",Technology,8182366208
QLYS,97.01492537313433,26.865671641791046,24.62686567164179,90.76923076923077,67.6923076923077,76.92307692307693,69.23076923076923,58.46153846153847,93.54838709677419,20.8955223880597,74.6268656716418,58.59375,9.375,95.23809523809523,79.80698541974195,4,"Qualys, Inc.",Technology,6528176640
CARG,91.04477611940298,80.59701492537313,41.7910447761194,58.46153846153847,90.76923076923077,52.307692307692314,30.76923076923077,58.46153846153847,45.16129032258064,52.23880597014925,91.04477611940298,100.0,29.6875,50.79365079365079,75.07499134364807,5,"CarGurus, Inc.",Communication Services,3117571840
TDC,52.23880597014925,91.04477611940298,47.76119402985074,67.6923076923077,35.38461538461539,66.15384615384615,69.23076923076923,58.46153846153847,24.193548387096776,85.07462686567165,70.1492537313433,81.25,56.25,77.77777777777779,74.2173348003572,6,Teradata Corporation,Technology,2733270016
PRGS,47.76119402985074,89.55223880597015,14.925373134328357,70.76923076923077,83.07692307692308,60.0,69.23076923076923,58.46153846153847,14.516129032258066,88.05970149253731,68.65671641791045,73.4375,76.5625,,70.95448239571374,7,Progress Software Corporation,Technology,1786523904
GEN,50.74626865671642,71.64179104477611,44.02985074626866,78.46153846153847,84.61538461538461,43.07692307692308,3.076923076923077,10.76923076923077,6.451612903225806,32.83582089552239,76.11940298507463,44.53125,14.0625,84.12698412698413,70.8097938933993,8,Gen Digital Inc.,Technology,18693871616
CRTO,17.91044776119403,98.50746268656717,66.4179104477612,27.692307692307693,70.76923076923077,35.38461538461539,23.076923076923077,10.76923076923077,40.32258064516129,98.50746268656717,89.55223880597015,84.375,100.0,68.25396825396825,67.46837868806152,9,Criteo S.A.,Communication Services,837368320
APPN,82.08955223880598,32.83582089552239,88.05970149253731,63.84615384615384,66.15384615384615,70.76923076923077,69.23076923076923,58.46153846153847,85.48387096774194,41.7910447761194,58.2089552238806,78.125,10.9375,,66.72670302334481,10,Appian Corporation,Technology,2716118528
ALRM,34.32835820895522,62.68656716417911,37.3134328358209,74.61538461538461,96.92307692307692,44.61538461538462,33.84615384615385,58.46153846153847,11.29032258064516,37.3134328358209,59.70149253731343,46.875,82.8125,85.71428571428571,66.72654071674594,11,"Alarm.com Holdings, Inc.",Technology,2712726016
YEXT,20.8955223880597,82.08955223880598,30.597014925373134,21.53846153846154,75.38461538461539,13.846153846153847,100.0,58.46153846153847,100.0,53.73134328358209,100.0,82.8125,84.375,55.55555555555556,64.97662927350427,12,"Yext, Inc.",Technology,632473920
DIOD,56.71641791044776,61.19402985074627,24.62686567164179,78.46153846153847,29.230769230769234,73.84615384615385,69.23076923076923,58.46153846153847,3.225806451612903,49.25373134328358,61.19402985074627,25.0,79.6875,87.3015873015873,62.98928890346801,13,Diodes Incorporated,Technology,4157087232
BOX,5.970149253731343,28.35820895522388,7.462686567164178,81.53846153846153,100.0,53.84615384615385,36.92307692307693,58.46153846153847,77.41935483870968,50.74626865671642,64.17910447761194,88.28125,17.1875,11.11111111111111,61.27748178179615,14,"Box, Inc.",Technology,4774586368
ACLS,35.82089552238806,35.82089552238806,61.19402985074627,40.0,33.84615384615385,63.07692307692307,69.23076923076923,58.46153846153847,19.35483870967742,7.462686567164178,82.08955223880598,50.0,59.375,65.07936507936508,59.292229329542764,15,"Axcelis Technologies, Inc.",Technology,3243791616
SLAB,32.83582089552239,8.955223880597014,35.82089552238806,100.0,78.46153846153847,81.53846153846153,69.23076923076923,58.46153846153847,88.70967741935483,14.925373134328357,44.776119402985074,,39.0625,31.746031746031743,58.840717049672264,16,"Silicon Laboratories, Inc.",Technology,7339686400
FIVN,11.940298507462686,83.5820895522388,57.46268656716418,87.6923076923077,32.30769230769231,69.23076923076923,69.23076923076923,58.46153846153847,72.58064516129032,74.6268656716418,26.865671641791046,85.9375,73.4375,33.33333333333333,58.45720316685802,17,"Five9, Inc.",Technology,2467371008
DGII,77.61194029850746,34.32835820895522,89.55223880597015,87.6923076923077,64.61538461538461,100.0,69.23076923076923,58.46153846153847,33.87096774193548,46.26865671641791,37.3134328358209,17.96875,43.75,88.88888888888889,57.96584485425437,18,Digi International Inc.,Technology,2603051520
SPSC,71.64179104477611,46.26865671641791,12.686567164179104,23.076923076923077,86.15384615384616,16.923076923076923,69.23076923076923,58.46153846153847,38.70967741935484,58.2089552238806,67.16417910447761,41.40625,57.8125,98.4126984126984,57.515012648524774,19,"SPS Commerce, Inc.",Technology,2951834624
YELP,76.11940298507463,95.52238805970148,4.477611940298507,16.923076923076923,89.23076923076924,21.53846153846154,69.23076923076923,58.46153846153847,46.774193548387096,97.01492537313433,94.02985074626866,90.625,96.875,26.984126984126984,57.14051366336814,20,Yelp Inc.,Communication Services,1147132928
PD,65.67164179104478,88.05970149253731,16.417910447761194,43.07692307692308,49.23076923076923,30.76923076923077,69.23076923076923,58.46153846153847,87.09677419354838,1.4925373134328357,97.01492537313433,62.5,81.25,23.809523809523807,56.6003430648953,21,"PagerDuty, Inc.",Technology,1141209600
UCTT,16.417910447761194,85.07462686567165,17.91044776119403,46.15384615384615,6.923076923076923,87.6923076923077,69.23076923076923,58.46153846153847,9.67741935483871,4.477611940298507,50.74626865671642,50.0,37.5,79.36507936507937,56.566298543910484,22,"Ultra Clean Holdings, Inc.",Technology,2943429632
CXM,29.850746268656714,76.11940298507463,92.53731343283582,25.384615384615383,94.61538461538461,33.84615384615385,69.23076923076923,58.46153846153847,32.25806451612903,77.61194029850746,92.53731343283582,79.6875,87.5,28.57142857142857,56.54521434721994,23,"Sprinklr, Inc.",Technology,1311768064
EPAM,28.35820895522388,94.02985074626866,34.32835820895522,10.0,87.6923076923077,12.307692307692308,69.23076923076923,58.46153846153847,35.483870967741936,26.865671641791046,86.56716417910447,53.90625,,74.60317460317461,56.269147195569765,24,"EPAM Systems, Inc.",Technology,6371508224
PLAB,43.28358208955223,77.61194029850746,26.865671641791046,30.76923076923077,4.615384615384616,58.46153846153847,69.23076923076923,58.46153846153847,58.06451612903226,82.08955223880598,88.05970149253731,15.625,93.75,90.47619047619048,56.232530684489646,25,"Photronics, Inc.",Technology,1608262784
AMPL,62.68656716417911,29.850746268656714,57.46268656716418,83.07692307692308,43.07692307692308,64.61538461538461,69.23076923076923,58.46153846153847,95.16129032258065,76.11940298507463,41.7910447761194,88.28125,42.1875,11.11111111111111,56.0650822410384,26,"Amplitude, Inc.",Technology,1670127744
KLIC,88.05970149253731,38.80597014925373,79.1044776119403,56.92307692307692,52.307692307692314,90.76923076923077,4.615384615384616,58.46153846153847,59.67741935483871,2.9850746268656714,62.68656716417911,67.96875,40.625,34.92063492063492,55.62475725197273,27,"Kulicke and Soffa Industries, I",Technology,4123011072
DV,67.16417910447761,79.1044776119403,95.52238805970148,87.6923076923077,81.53846153846153,50.76923076923077,69.23076923076923,58.46153846153847,12.903225806451612,70.1492537313433,55.223880597014926,71.875,92.1875,3.1746031746031744,54.49144786598145,28,"DoubleVerify Holdings, Inc.",Communication Services,2092332416
SYNA,1.4925373134328357,52.23880597014925,77.61194029850746,52.307692307692314,49.23076923076923,61.53846153846154,69.23076923076923,58.46153846153847,4.838709677419355,94.02985074626866,43.28358208955223,75.0,75.0,44.44444444444444,53.75892971042225,29,Synaptics Incorporated,Technology,3805891584
MNDY,92.53731343283582,64.17910447761194,2.9850746268656714,3.8461538461538463,63.07692307692307,4.615384615384616,38.46153846153847,58.46153846153847,,56.71641791044776,98.50746268656717,44.53125,70.3125,66.66666666666666,53.38788329984691,30,monday.com Ltd.,Technology,3975881216
FSLY,44.776119402985074,19.402985074626866,49.25373134328358,84.61538461538461,10.76923076923077,92.3076923076923,7.6923076923076925,3.076923076923077,37.096774193548384,61.19402985074627,8.955223880597014,26.5625,51.5625,92.06349206349206,53.04915013986842,31,"Fastly, Inc.",Technology,3870989824
ASAN,13.432835820895523,68.65671641791045,32.83582089552239,15.384615384615385,58.46153846153847,15.384615384615385,35.38461538461539,10.76923076923077,83.87096774193549,89.55223880597015,46.26865671641791,93.75,71.875,53.96825396825397,52.342881517321814,32,"Asana, Inc.",Technology,2175216128
BL,19.402985074626866,50.74626865671642,10.44776119402985,6.153846153846154,75.38461538461539,7.6923076923076925,13.846153846153847,58.46153846153847,62.903225806451616,79.1044776119403,83.5820895522388,70.3125,53.125,46.03174603174603,51.52004543445774,33,"BlackLine, Inc.",Technology,1693770368
CRUS,73.13432835820896,67.16417910447761,20.8955223880597,41.53846153846154,72.3076923076923,27.692307692307693,69.23076923076923,58.46153846153847,91.93548387096774,31.343283582089555,71.64179104477611,62.5,78.125,25.396825396825395,50.26926949501576,34,"Cirrus Logic, Inc.",Technology,6124867072
PCTY,80.59701492537313,53.73134328358209,51.49253731343284,50.76923076923077,98.46153846153847,47.69230769230769,21.53846153846154,10.76923076923077,70.96774193548387,44.776119402985074,79.1044776119403,11.71875,28.125,58.730158730158735,50.08065427783245,35,Paylocity Holding Corporation,Technology,7811046400
CALX,74.6268656716418,43.28358208955223,63.43283582089553,7.6923076923076925,80.0,3.076923076923077,69.23076923076923,58.46153846153847,27.419354838709676,29.850746268656714,56.71641791044776,65.625,85.9375,69.84126984126983,49.96874886100632,36,"Calix, Inc",Technology,2235221504
PATH,98.50746268656717,56.71641791044776,38.80597014925373,63.84615384615384,23.076923076923077,72.3076923076923,69.23076923076923,58.46153846153847,67.74193548387096,10.44776119402985,73.13432835820896,50.0,62.5,11.11111111111111,49.52289832886848,37,"UiPath, Inc.",Technology,7416041472
COHU,37.3134328358209,25.37313432835821,5.970149253731343,74.61538461538461,30.76923076923077,93.84615384615384,24.615384615384617,58.46153846153847,8.064516129032258,47.76119402985074,40.298507462686565,4.6875,65.625,76.19047619047619,48.947967067136844,38,"Cohu, Inc.",Technology,2365501440
BSY,79.1044776119403,37.3134328358209,86.56716417910447,13.846153846153847,92.3076923076923,10.76923076923077,69.23076923076923,10.76923076923077,56.451612903225815,28.35820895522388,52.23880597014925,53.90625,21.875,71.42857142857143,47.85494531121863,39,"Bentley Systems, Incorporated",Technology,9630721024
ESTC,85.07462686567165,41.7910447761194,100.0,48.46153846153846,54.61538461538461,46.15384615384615,1.5384615384615385,58.46153846153847,82.25806451612904,8.955223880597014,49.25373134328358,28.90625,32.8125,57.14285714285714,45.941094236919795,40,Elastic N.V.,Technology,8941058048
S,41.7910447761194,14.925373134328357,85.07462686567165,93.07692307692308,61.53846153846154,67.6923076923077,10.76923076923077,58.46153846153847,51.61290322580645,55.223880597014926,28.35820895522388,58.59375,35.9375,1.5873015873015872,45.40404590486214,41,"SentinelOne, Inc.",Technology,8172193280
